close,high,low,bb_bbm,bb_bbh,bb_bbl,var,ema_3,ema_5,delta_1,delta_2,ret_3,atr_3,resultado,streak_lost,contexto
9153.07,9153.08,9153.06,9151.9435,9152.84712104892,9151.039878951078,4.118833630306047e-05,9152.79869469521,9152.602431362524,0.1900000000005093,0.6700000000000728,0.0001333063806769,0.3251989974602597,lost,3,arriscado
9112.44,9112.45,9112.43,9112.7545,9113.755149289222,9111.753850710777,2.9763803135279584e-05,9112.55888425574,9112.65782342106,-0.1899999999986903,-0.1700000000000727,-5.486974471224926e-06,0.2107267890069888,won,0,seguro
9177.46,9177.47,9177.45,9178.163,9180.118618572224,9176.207381427774,7.062506790829038e-05,9177.066246661989,9177.076970830916,0.8599999999987631,1.0099999999983993,9.480645860815427e-05,0.4968548415951854,lost,1,seguro
9131.24,9131.25,9131.23,9130.8415,9132.002194188835,9129.680805811162,2.716296027875866e-05,9131.152366358896,9131.167245755156,0.2399999999997817,0.2800000000006548,0.0,0.2136546317023583,lost,1,seguro
9138.04,9138.05,9138.03,9137.763,9138.24391995202,9137.282080047982,4.730563688527547e-05,9137.941982450524,9137.886975134064,0.0500000000010913,0.2300000000013824,8.536475923870412e-05,0.259526414021252,won,1,seguro
9130.67,9130.68,9130.66,9128.734,9132.246921291448,9125.221078708551,4.244939481153467e-05,9130.541411672566,9130.440511900206,0.2199999999993451,0.25,4.9286873700760125e-05,0.2587596272303024,won,0,seguro
9120.11,9120.12,9120.1,9119.6585,9120.464509305197,9118.852490694808,3.454120463046974e-05,9119.983674584511,9119.93617552857,0.1400000000012369,0.569999999999709,2.302656827390948e-05,0.2570453145277337,lost,2,seguro
9127.7,9127.71,9127.69,9128.999,9130.466240948224,9127.531759051775,0.0001018969646798,9127.7770384446,9127.984344066906,0.0500000000010913,0.5300000000006548,-0.0001445938337302,0.4812739541361732,lost,2,seguro
9139.6,9139.61,9139.59,9140.334,9142.883591339812,9137.784408660184,5.217143821584788e-05,9139.26703517399,9139.19497609752,0.4899999999997817,0.8299999999999272,0.0001345973078348,0.4284973919217432,lost,1,seguro
9137.57,9137.58,9137.56,9137.669,9138.970720400095,9136.367279599905,6.685944920685276e-05,9137.066838481209,9137.004532314391,0.9400000000005092,1.360000000000582,0.0001258698702555,0.5548945335025492,lost,1,seguro
9112.33,9112.34,9112.32,9111.59,9112.805779585304,9110.374220414697,7.069747220896323e-06,9112.236207622216,9112.16216903581,0.1499999999996362,0.1299999999991996,2.194876499794773e-05,0.1543148050437237,lost,6,arriscado
9122.22,9122.23,9122.21,9123.0105,9124.80711320262,9121.21388679738,5.332835391652716e-05,9122.412063350748,9122.473908958276,-0.3000000000010914,-0.2800000000006548,-9.865046168433532e-05,0.2952330748463592,lost,1,seguro
9150.56,9150.57,9150.55,9150.5495,9151.482933982606,9149.616066017395,3.0952845641253736e-05,9150.589231954888,9150.665491863674,0.1499999999996362,-0.0699999999997089,-5.2453054516399256e-05,0.2568133378814607,lost,6,arriscado
9115.51,9115.52,9115.5,9115.091,9116.592810906846,9113.589189093154,4.0643089283672575e-05,9115.728009280096,9115.75043361684,-0.5599999999994907,-0.2700000000004365,-5.5945467429929785e-05,0.3579823556347576,lost,1,seguro
9137.1,9137.11,9137.09,9136.542,9137.611665368191,9135.472334631806,6.439551139361994e-05,9137.260216722909,9137.154962457636,-0.4799999999995634,-0.6999999999989086,-1.094427176817625e-05,0.4319549609027588,won,0,seguro
9119.55,9119.56,9119.54,9120.3645,9122.073961611131,9118.655038388866,5.644599584017502e-05,9119.541905493112,9119.530996658044,-0.3100000000013097,0.3099999999994907,5.1540286958751125e-05,0.3918935200713149,lost,1,seguro
9115.9,9115.91,9115.89,9116.2835,9117.74568022147,9114.82131977853,2.1502649862672303e-05,9116.132006414387,9116.328009751898,-0.1000000000003638,-0.5100000000002183,-0.000116266825784,0.2724258233525445,won,0,seguro
9178.9,9178.91,9178.89,9178.99,9179.688054439135,9178.291945560864,6.3762329057591e-05,9178.756327500592,9178.79442269355,0.3500000000003638,0.3400000000001455,7.626767775814614e-05,0.334722625085379,won,0,seguro
9116.44,9116.45,9116.43,9117.175,9118.75575298513,9115.59424701487,3.23688063051185e-05,9116.3571081886,9116.34836868689,-0.0499999999992724,0.3999999999996362,4.607273788348465e-05,0.220589635195314,won,1,seguro
9146.71,9146.72,9146.7,9147.0835,9148.15838185385,9146.008618146152,4.740759539407216e-05,9146.542723910265,9146.59033688622,0.4399999999986903,0.3999999999996362,5.576086243452849e-05,0.3298760855608068,won,0,seguro
9134.75,9134.76,9134.74,9135.2375,9136.305860894166,9134.169139105832,2.8277639422095103e-05,9134.92715736513,9134.99604777572,-0.2399999999997817,-0.6100000000005821,-4.269228495668021e-05,0.2565152250656536,lost,1,seguro
9143.39,9143.4,9143.38,9143.1805,9143.924958863903,9142.436041136092,3.577005704567171e-05,9143.420892922875,9143.399528407304,-0.1000000000003638,-0.180000000000291,1.6405563016963498e-05,0.1917465196323221,lost,2,seguro
9112.44,9112.45,9112.43,9113.1715,9115.01543356716,9111.32756643284,4.521711003141801e-05,9112.538775733175,9112.550433247612,-0.2299999999995634,-0.3299999999999272,1.6461284704449852e-05,0.2933414767485808,lost,1,seguro
9123.81,9123.82,9123.8,9120.72,9128.324672248003,9113.115327751995,5.402762375123285e-05,9123.761288252948,9123.593091197185,-0.0799999999999272,-0.0300000000006548,4.274712772178724e-05,0.2489828063094316,lost,2,seguro
